"","Yuca Martes","Yuca Jueves","Yuca Viernes","Plátano Martes","Plátano Jueves","Plátano Viernes","Papa Martes","Papa Jueves","Papa Viernes","Piña Martes","Piña Jueves","Piña Viernes","Naranja Martes","Naranja Jueves","Naranja Viernes","Mandarina Martes","Mandarina Jueves","Mandarina Viernes","Banano Martes","Banano Jueves","Banano Viernes","Tomate Martes","Tomate Jueves","Tomate Viernes"
"191",1190,1310,1190,1360,1360,1313,1225,1359,1417,775,747,733,1160,1160,1170,2899,2790,2917,1250,1250,1250,1591,1364,1364
"192",1190,1190,1190,1440,1440,1327,1380,1388,1400,708,700,700,1130,1140,1160,2935,2935,3000,1250,1250,1250,909,909,864
"193",1190,1190,987,1280,1280,1280,1383,1360,1325,667,689,689,1085,1130,1120,2917,2935,2935,1358,1342,1333,909,909,909
"194",1141,1310,1190,1600,1600,1567,1317,1325,1325,628,639,667,1100,1030,1030,2935,2935,2935,1342,1442,1367,655,841,597
"195",1156,1190,1190,1600,1480,1440,1300,1480,1453,639,713,692,1020,960,692,2869.20183486239,2806.68085106383,2737.31914893617,1458,1442,1433,864,932,943
"196",1131,1190,1190,1440,1440,1440,1600,1655,1642,743,743,744,1000,1000,1000,2681.44444444444,2609,2609,1442,1442,1442,761,682,682
"197",1190,1190,1190,1440,1440,1313,1475,1475,1465,715,715,715,833,833,833,2609,2609,2609,1442,1442,1433,727,750,682
"198",1240,1212.22222222222,1218.05555555556,1567,1448.58333333333,1460.94444444444,1647,1583.98611111111,1590.33333333333,715,720.576388888889,717.798611111111,833,903.472222222222,913.930555555556,2609,2603.11290322581,2585.31007751938,1442,1439.77777777778,1439.46527777778,909,831.826388888889,887.652777777778
"199",1240,1190,1190,1440,1400,1393,1612,1617,1617,724,724,724,1000,1017,1017,2609,2609,2609,1429,1450,1442,886,871,682
"200",1260,1260,1190,1553,1693,1600,1724,1600,1600,724,686,694,850,833,800,2536,2391,2391,1442,1442,1442,1311,1318,1364
"201",1250,1260,1250,1760,1920,1550,1500,1550,1550,667,667,667,753,600,600,1899,1413,1413,1442,1358,1358,1364,1364,1364
"202",1240,1235,1190,1600,1440,1440,1600,1560,1520,667,667,667,697,697,697,1395,1395,1377,1400,1400,1400,1364,1364,1364
"203",1240,1190,1190,1760,1600,1600,1600,1500,1600,667,657,657,697,617,617,1395,1341,1333,1400,1400,1400,1420,1364,1364
"204",1190,1250,1310,1600,1760,1920,2200,2200,2000,657,657,657,617,617,613,1395,1395,1377,1400,1400,1400,1705,2159,2112
"205",1190,1190,1121,2000,1920,1920,1850,1958,1900,694,694,694,687,617,617,1359,1304,1304,1400,1400,1400,1818,1591,1591
"206",1131,1131,1131,1760,1760,1760,1700,1800,1800,694,694,689,577,583,583,1178,1178,1087,1400,1400,1400,1591,1364,1231
"207",1131,1131,1022,1760,1760,1760,1800,1800,1800,694,694,667,617,617,617,1087,1087,1087,1400,1400,1400,1193,1182,1705
"208",1310,1310,1310,1760,1600,1600,1958,1850,1867,647,694,689,617,617,617,1254,1254,1246,1400,1400,1400,1659,2045,2405
"209",1250,1240,1190,1920,1760,1760,1900,1900,1800,694,694,689,617,617,617,1036,1051,1051,1400,1400,1400,3314,3068,2727
"210",1190,1198.50574712644,1190,1760,1890,1760,1700,1675.11494252874,1600,647,662.540229885057,661,583,591.252873563218,583,1051,1086.04597701149,1051,1400,1402.41379310345,1400,3049,3111.9367816092,3049
"211",1190,1190,1190,1987,2240,2240,1500,1500,1500,647,628,622,583,577,587,1051,1141,1130,1400,1400,1400,3523,3277,3182
"212",1071,1071,1071,2240,2720,2240,1600,1620,1750,681,681,681,537,537,537,1254,1254,1254,1442,1442,1442,3636,3409,3409
"213",1190,1190,1190,2080,2080,2080,1850,2000,1800,681,681,678,583,583,587,1688,1703,1710,1442,1442,1400,3864,3542,3182
"214",1190,1190,1190,1920,1760,1760,1650,2000,1950,681,694,689,583,577,587,1688,1830,1812,1442,1558,1550,2822,3182,3182
"215",1190,1190,1190,1600,1800,1920,1820,1642,1600,694,694,689,617,633,627,2264,2482,2464,1600,1600,1600,2727,2841,2727
"216",1131,1131,1121,2320,2580,2286.26436781609,1158,1153,1070,681,681,678,647,633,613,2482,2264,2246,1883,1883,1867,2159,2500,2727
"217",1379,1071,1071,2307,2480,2400,1300,1242,1250,681,681,678,617,600,600,2047,2047,2101,1658,1658,1667,2367,2386,2386
"218",1131,1131,1105.94252873563,2400,2400,2367.98850574713,1020,800,958.988505747127,786,778,751.068965517241,600,600,590.379310344828,2047,1812,1822.32183908046,1658,1667,1658.34482758621,1364,909,1309.59195402299
"219",1071,1071,1071,2400,2240,2240,850,850,870,747,781,778,567,600,600,1649,1612,1551,1642,1658,1667,1023,909,909
"220",1071,1071,1071,2400,2400,2240,980,850,850,747,781,778,543,583,573,1830,1830,1812,1658,1658,1667,1136,909,909
"221",1071,1071,1022,2400,2400,2240,650,640,577,747,747,744,617,617,613,1781.55172413793,1830,1812,1658,1742,1733,909,1136,1318
"222",1071,1250,1071,2240,2240,2400,783,675,670,733,733,733,583,583,573,1830,1739,1739,1700,1658,1667,1477,1496,1136
