"","Yuca Martes","Yuca Jueves","Yuca Viernes","Plátano Martes","Plátano Jueves","Plátano Viernes","Papa Martes","Papa Jueves","Papa Viernes","Piña Martes","Piña Jueves","Piña Viernes","Naranja Martes","Naranja Jueves","Naranja Viernes","Mandarina Martes","Mandarina Jueves","Mandarina Viernes","Banano Martes","Banano Jueves","Banano Viernes","Tomate Martes","Tomate Jueves","Tomate Viernes"
"20",1209.8275862069,1185,1190,1220,1250,1163,815.942528735632,753,787,625.195402298851,658,650,491.695402298851,518,492,776.436781609195,777,841,832.310344827586,847,822,1586.18965517241,1693,1727
"21",1190,1205,1037,1415,1425,1304,673,707,632,521,510,510,410,430,410,764,757,717,825,828,819,1614,1744,1784
"22",1205,1235,1126,1169,1220,1415,727,687,700,638,642,647,420,405,415,906,830,855,817,850,833,2040,1852,1580
"23",1171,1071,1132.74137931034,1321,1260,1233,660,663,573,657,599,581,413,415,448.77358490566,870,899,870,817,789,817,1818,1722,1580
"24",1190,1086,1111,1310,1220,1253,625,613,600,667,667,697,490,490,481.949685534591,830,830,837,825,817,808,2188,2500,2623
"25",1066,1091,1101,1207,1280,1237,607,580,607,658,604,628,495,492,480,841,783,797,817,817,817,1795,2006,2045
"26",1190,1190,1151,1200,1240,1240,620,647,600,647,696,614,500,513,490.620689655172,841,870,819,817,819,833,1800,2727,2585
"27",1086,1190,1101,1300,1223,1177,633,605,573,586,426,460,520,513,450,848,848,717,817,750,767,1960,1875,1847
"28",1037,952,952,1187,1200,1200,532,577,600,553,546,617,437,407,466.333333333333,833,783,826,678,696,642,1617,1761,2131
"29",1088.55974842767,1136,1101,1222.38364779874,1250,1280,600.22641509434,583,620,587.842767295597,617,613,472.478991596639,500,500,923.779874213836,940,975,704.452830188679,750,656,1604.72327044025,1563,1165
"30",1140.5534591195,1202,1429,1204.53459119497,1125,1360,633.861635220126,720,646,639,766,600,538.267716535433,500,576.416666666667,1077.92452830189,1591,1007,733.188679245283,667,833,1220.30188679245,966,905
"31",1280,982,903,1177,993,1120,634,617,612,689,576,578,670,670,620,1092,1054,870,917,764,764,966,1108,977
"32",833,854,833,1040,1153,1177,577,586,600,639,519,575,542,520,530,1027,1000,1014,736,729,700,1367,1028,1136
"33",833,813,799,1200,1090,1087,612,647,650,628,579,667,642,580,580,1105,1056,1109,764,850,833,1483,1352,1364
"34",952,833,764,1063,1123,1073,633,624,633,653,596,618,650,640,580,1250,1174,1250,833,992,1050,926,909,1205
"35",833,833,833,1120,1143,1153,594,607,600,675,699,761,670,648,600,1467,1422,1399,1158,1150,1150,943,1051,1136
"36",851,919,883,1167,1233,1200,600,600,588,667,644,689,600,600,600,1504,1585,1612,1150,1150,1167,943,949,1068
"37",833,833,714,1440,1727,1600,588,595,600,717,708,665,625,620,530,1861,1638,1696,1142,1200,1200,1133,1159,1136
"38",854,938,903,1647,1650,1613,612,583,588,644,689,817,700,639.516129032258,641.140350877193,1627,1696,1714,1225,1250,1233,830,644,831
"39",833,889,833,1613,1774,1760,738,727,743,739,696,667,643.064516129032,700,700,1911,1884,1815,1217,1100,1100,947,947,1017
"40",813,952,833,1452,1452,1405,603,652,613,667,650,650,600,575,578,1884,1871,1861,1000,1125,1138,909,909,898
"41",833,833,833,1393,1313,1223,700,700,685,629,579,592,600,700,654.460431654676,1650,1810,1710,1050,1113,1100,1390,1799,1932
"42",833,833,833,1440,1334.11111111111,1322.47222222222,818,764.590277777778,785.430555555556,583,610.708333333333,617.25,700,680.483870967742,684.496124031008,1812,1728.46527777778,1685.76388888889,1133,1119.47916666667,1121.5,1818,1746.59027777778,1789.47222222222
"43",833,833,833,1383,1257,1223,900,785,783,642,633,622,700,700,700,1714,1687,1612,1167,1100,1100,1653,2004,2032
"44",833,833,714,1280,1327,1163,766,743,717,608,656,658,700,600,600,1585,1428,1565,1150,1117,1050,1818,1489,1742
"45",833,821.735632183908,833,1233,1205.02298850575,1200,706,825.637931034483,830,685,680.425287356322,700,600,624.513888888889,617.541666666667,1574,1492.83908045977,1486,1067,1091.0632183908,1100,1818,2012.91954022989,2273
"46",854,833,833,1153,1143,1077,930,1000,937,753,678,689,700,600,600,1533,1404,1382,1088,1088,1100,2081,2273,2386
"47",833,833,799,1280,1280,1163,1023,1000,1000,683,711,767,533,533,550,1179,1038,1018,1100,1100,1100,2386,2339,2324
"48",833,742,714,1177,1153,1073,1018,1058,1060,750,738,739,518,480,520,1230,1192,1170,1088,1088,1100,2852,1856,1852
"49",833,833,833,1200,1200,1153,1047,1000,1000,717,700,711,450,467,450,1221,1192,1123,1100,1117,1100,1705,1106,1136
"50",833,833,767,1120,1120,1087,880,827,840,694,696,667,500,500,400,1056,1014,1022,1100,1117,1083,1098,898,977
"51",833,819,755,1200,1167,1153,931,900,900,667,675,683,467,583,495.252873563218,906,810,784,1100,1100,1133,977,867,890
"52",833,833,833,1223,1227,1280,960,932,932,686,704,689,488,550,440,944,957,795,1058,1117,1067,1148,1152,1335
"53",714,730,730,1200,1200,1147,980,925,933,706,649,628,467,450,450,815,841,757,1142,1167,1167,1337,991,864
"54",714,714,714,1200,1290,1200,960,927,925,685,678,667,468,453,450,812,755,770,1167,1200,1167,936,1277,1159
"55",700,714,595,1230,1170,1157,970,960,950,628,619,622,450,500,400,815,882,822,1167,1142,1167,905,852,835
"56",798,833,732,1280,1280,1240,987,1000,1000,722,711,756,461,467,450,928,1025,906,1167,1167,1083,1066,1136,1496
"57",738,738,725.913793103448,1240,1200,1236.98275862069,1013,1000,986.51724137931,706,700,696.965517241379,448,467,468.298850574713,899,913,928.672413793103,1113,1113,1112.00574712644,1790,1420,1366.27586206897
"58",698,690,683,1240,1240,1233,960,1000,1000,689,683,644,448,483,480,913,895,899,1113,1100,1100,1136,1390,1394
"59",714,690,622,1240,1230,1200,972,906,892,700,667,681,500,525,480,1002,1025,957,1100,1083,1083,1345,1367,1345
"60",738,714,714,1280,1233,1170,800,748,743,708,633,628,453,453,432,1130,1315,1246,1088,1100,1100,1259,1165,1136
"61",728,714,687,1257,1243,1237,778,760,725,672,692,689,450,517,483,1304,1281,1391,1100,1088,1100,1364,1165,1148
"62",714,714,700,1230,1280,1170,700,708,700,672,699,733,472,448,434,1333,1348,1268,1100,1100,1100,1136,1152,1170
"63",833,833,813,1797,1600,1387,870,1050,1000,667,756,700,387,420,420,1435,1522,1522,1100,1100,1100,1136,966,962
"64",714,696,696,1487,1520,1520,725,1007,977,700,696,694,620,620,513.304597701149,1696,1574,1634,1100,1400,1400,875,807,871
"65",714,714,698,1500,1600,1440,642,659,657,722,750,744,463,597,497,1598,1634,1638,1200,1200,1150,920,960,1008
"66",774,714,696,1550,1320,1280,683,628,607,744,686,619,485,400,400,1585,1178,1134,1150,1167,1167,1042,909,1136
"67",714,714,690,1547,1397,1320,560,543,538,689,756,711,400,418,417,1053,1176,1087,1167,1167,1167,1216,1087,833
"68",714,690,696,1303,1320,1360,560,532,517,744,683,644,413,412,417,1188,1205,1116,1100,1100,1100,958,1074,1136
"69",637,690,687,1400,1400,1360,537,560,552,638,706,694,412,412,413,1141,1062,1074,1113,1100,1100,1023,1189,1310.87931034483
"70",714,738,595,1313,1490,1400,550,527,500,694,685,653,412,400,377,1045,995,995,1150,1100,1125,1602,1472,1617
"71",714,690,667,1550,1473,1440,463,477,492,568,510,581,383,383,383,933,938,944,1150,1133,1133,1375,1420,1610
"72",714,685,595,1440,1407,1390,552,530,500,650,649,653,388,385,387,944,918,906,1150,1158,1150,1818,2045,1818
"73",714,667,595,1440,1330,1280,468,400,460,625,686,628,383,377,377,783,783,770,1167,1150,1142,1330,1295,1273
"74",714,685,623,1330,1250,1250,433,447,480,683,676,676,377,388,382,880,911,911,1158,1167,1158,1136,1091,1136
"75",637,631,595,1240,1200,1177,480,450,452,800,758,767,388,385,383,870,806,804,1167,1167,1150,890,773,955
"76",690,685,625,1313,1160,1120,400,420,383,653,700,681,383,387,385,806,797,806,1167,1158,1100,746,625,1080
"77",622,622,595,1153,1160,1150,429,420,425,633,629,625,380,385,388,949,940,949,1100,1100,1100,602,723,818
"78",631,690,690,1160,1160,1200,453,450,448,633,629,633,415,440,440,978,1005,1000,1100,1100,1100,795,1080,1070
"79",667,690,604,1240,1200,1160,525,508,493,700,639,628,440,435,440,1112,1020,920,1100,1100,1100,955,864,750
"80",631,595,595,1200,1120,1070,463,460,460,676,711,689,440,440,435,944,1022,1020,1100,1100,1100,604,659,818
"81",714,631,603,1240,1280,1440,500,480,492,722,722,683,480,480,520,1188,1103.13218390805,1071,1100,1100,1100,716,659,682
"82",765,690,595,1153,1080,1120,532,530,520,722,722,733,525,520,577,1199,1087,1246,1100,1100,1100,985,907.436781609195,871
"83",845,714,687,1150,1080,1067,577,530,533,708,672,667,573,580,555,1268,1304,1254,1100,1100,1100,947,1017,1136
"84",714,690,640,1150,1167,1120,412,412,440,642,700,700,537,548,537,1268,1261,1268,1088,1100,1100,1409,1449,1402
"85",637,607,595,1200,1230,1153,517,510,508,597,689,689,537,537,537,1353,1623,1645,1100,1100,1100,1722,1489,1364
"86",604,595,639.505747126437,1200,1200,1184.74137931034,510,490,506.810344827586,800,667,706.965517241379,537,537,579.965517241379,1609,1630,1720.53448275862,1100,1100,1100,1364,1398,1450.60344827586
"87",720,690,685,1160,1170,1170,503,518,515,722,767,717,595,640,635,1848,1844,1848,1100,1100,1100,1538,1591,1591
"88",595,595,595,1170,1230,1200,510,508,498,667,667,611,635,640,640,1841,1848,1848,1100,1100,1100,1256,1074,909
"89",595,714,604,1240,1150,1150,493,488,494,700,700,700,635,640,635,2058,2217,2088.62893081761,1100,1088,1100,1216,1136,1059
"90",595,595,595,1147,1200,1153,494,500,488,700,742,689,640,635,663,2161,2188,2151.9748427673,1100,1100,1100,1063,1000,983
"91",605,595,595,1200,1120,1120,617,692,694,692,783,789,715,697,707,2138,2187,2174,1100,1100,1100,1402,1629,1648
"92",613,598,595,1220,1303,1233,898,846,823,696,638,628,663,657,657,2080,2067,2043,1100,1100,1100,1311,1070,1085
"93",595,595,595,1177,1153,1120,815,763,735,650,783,694,600,600,600,2203,2062,2058,1100,1100,1100,1205,1136,1055.90229885057
"94",694,687,605,1200,1177,1157,765,777,777,696,696,696,652,663,663,1969,1634,1623,1100,1100,1100,841,841,854
"95",595,595,595,1120,1080,1040,1000,1078,1093,792,767,758,640,663,640,1616,1739,1674,1100,1100,1100,1261,1333,1551
"96",681,605,606,1073,1143,1200,1041,1000,1027,700,667,638,645,680,680,1533,1304,1304,1100,1100,1100,1392,1210,1364
"97",626,658.194444444444,677.119402985075,1157,1126.71527777778,1124.85820895522,1050,1133.00694444444,1172.73134328358,733,705.375,706.888059701492,668,669.375,672.686567164179,1210,1265.3125,1216.0223880597,1100,1103.4375,1104.92537313433,1409,1621.3125,1712.05223880597
"98",692,833,694,1087,1120,1073,1300,1275,1253,758,767,667,685,680,680,1161,1197,1157,1100,1133,1100,1792,2045,2045
"99",602,656.567073170732,604,1170,1287.59210526316,1440,1253,1253.0243902439,1373,617,683.920731707317,679,635,650,640,1007,1003.76219512195,906,1100,1103.01829268293,1100,2250,1863.5487804878,1845
"100",623,700,639,1507,1720,1254.35185185185,1158,1183,1158,767,700,696,635,640,640,906,920,935,1100,1100,1100,1597,1591,1574
"101",619,595,574,1017,927,933,1213,1200,1213,515,563,567,635,635,635,906,870,783,1100,1100,1100,1500,1449,1136
"102",687,667,602,1160,1120,1120,1153,1041,992,792,611,611,588,595,565,734,714,719,1100,1100,1100,1326,1506,1631
"103",602,602,595,1063,960,1017,872,960,960,650,686,689,560,565,600,712,732,739,1100,1100,1100,1261,1491,1449
"104",700,700,692,1073,1040,1040,1007,1015,1013,608,628,700,635,628,635,707,703,703,1100,1100,1100,1818,1686,1941
"105",694,598,602,1063,1040,960,1018,1040,1047,664,581,561,645,640,635,764,725,719,1100,1100,1100,2081,1792,1818
"106",714,700,620,1097,1120,1063,1000,988,987,667,733,683,600,595,595,732,870,846,1100,1100,1100,2129,2500,2500
"107",714,714,714,1120,1073,1087,1060,1123,1128,676,628,622,605,600,600,795,868,846,1100,1100,1100,1932,2045,2727
"108",714,783,714,1150,1200,1200,1073,1080,1080,700,681,681,605,605,605,906,993,995,1100,1100,1100,2795,2727,2727
"109",714,732,605,1240,1150,1150,1033,1100,1100,696,696,700,635,645,645,1145,1167,1161,1100,1100,1100,2674,2500,2377
"110",602,714,660,1507,1440,1393,1068,1027,1033,696,633,638,645,600,605,1199,1241,1225,1100,1100,1100,2555,2688,2727
"111",714,625,595,1233,1223,1200,1017,972,980,700,714,714,605,635,640,1304,1304,1187,1100,1100,1100,1970,1864,2362
"112",621,700,702,1280,1247,1200,815,768,800,717,683,667,727,795,730,1368,1368,1304,1100,1100,1100,2045,2136,2129
"113",738,685.318181818182,686.372093023256,1360,1331.66666666667,1335.23611111111,932,873.770833333333,879.166666666667,692,650.784722222222,628.777777777778,700,701.902777777778,693.75,1543,1471.0625,1519.625,1075,1120.36111111111,1131.84027777778,2307,2176.38888888889,2133.38888888889
"114",631,700,678.244897959184,1400,1073,1600,848,1007,844,558,608,567,663,635,720,1565,1525,1636,1204,1100,1171,2386,1818,2045
"115",726,700,602,1760,1073,1760,857,1007,847,654,608,733,700,635,680,1685,1610,1543,1175,1100,1175,2188,1818,2045
"116",631,632,595,1760,1813,1600,812,817,820,633,667,658,690,680,660,1522,1337,1326,1150,1150,1150,1818,1591,1591
"117",714,769,770,2080,1760,1693,840,840,840,700,742,700,660,680,700,1413,1478,1522,1150,1150,1150,2045,2112,2045
"118",690,690,690,1600,1520,1600,850,870,827,717,700,700,690,680,652,1522,1522,1522,1150,1150,1150,1420,1136,1165
"119",714,667,690,1600,1760,1760,813,787,787,750,750,750,680,660,660,1522,1522,1522,1150,1150,1150,1231,1136,1364
"120",608,694,687,1670,1527,1507,753,760,760,750,750,750,640,600,600,1522,1522,1522,1150,1150,1150,1818,1818,1659
"121",714,692,595,1760,1760,1680,760,760,760,653,633,633,560,580,520,1522,1304,1304,1150,1150,1150,1534,1477,1364
"122",687,687,667,1760,1760,1739.28735632184,788,783,780,628,761,767,540,560,560,1304,1522,1522,1150,1250,1250,1364,1261,1136
"123",833,714,607,1760,1760,1760,800,777,780,742,667,667,560,560,600,1522,1304,1304,1250,1250,1250,1364,1364,1591
"124",622,631,623,1693,1600,1600,752,780,768,783,817,817,540,480,480,1087,1087,1128.46551724138,1250,1250,1250,1591,1591,1591
"125",643,690,690,1520,1600,1520,730,766,766,750,750,817,480,480,400,1087,1087,957,1250,1250,1250,1136,1136,1136
"126",700,790,804,1540,1519,1452,817,888,879,694,783,775,480,440,460,1000,1087,1016,1250,1250,1250,1136,1114,1102
"127",670,629,631,1440,1440,1393,907,937,900,747,694,700,480,480,480,1036,1043,1043,1242,1308,1250,886,864,924
"128",774,769,714,1440,1320,1347,900,900,883,700,700,700,480,500,480,1043,1043,870,1250,1150,1163,1080,1000,1068
"129",694,714,595,1360,1400,1320,913,907,892,750,750,750,400,400,400,870,870,929.109195402299,1250,1242,1250,951,955,955
"130",690,687,694,1440,1360,1360,892,958,1000,633,633,633,400,400,400,913,913,913,1250,1250,1250,932,1110,1330
"131",714,714,714,1280,1440,1440,1100,1217,1213,763,633,650,457,440,445,1087,978,870,1267,1250,1317,1364,1364,1273
"132",690,679,625,1360,1393,1360,1138,980,942,633,750,750,440,440,440,855,913,1008.34188034188,1250,1250,1250,1420,1705,2273
"133",833,832.320754716981,833,1320,1299.33962264151,1160,1088,1129.66037735849,1200,750,728.170542635659,738.5,440,508.74213836478,440,1261,1122.4025974026,1246.78125,1250,1239.74842767296,1250,2273,1811.21383647799,2000
"134",1071,976.811320754717,952,1233,1276.66666666667,1360,1270,1178.5534591195,1200,767,737.762589928058,694,720,629.37106918239,680,1366.98076923077,1530.21052631579,1563.0487804878,1250,1183.01886792453,1100,1449,1712.60377358491,1364
"135",1141,1071,1146,1240,1280,1280,1185,1188,1147,742,767,767,680,720,720,1594,1594,1674.90510948905,1200,1200,1050,1364,1682,2159
"136",908,774,749,1320,1360,1407,1153,1119,1000,667,667,690,655,660,660,1630,1630,1594,1050,1050,1058,1949,2085,2045
"137",1071,833,833,1600,1520,1440,1112,1187,1180,700,700,700,660,660,640,2011,2022,1997.54716981132,1250,1250,1150,2045,2386,2386
"138",833,893,833,1440,1760,1760,1213,1213,1213,633,700,667,700,620,620,2022,2065,2290.96855345912,1150,1150,1150,2614,2727,2500
"139",952,952,792,1600,1520,1440,1303,1233,1210,633,633,633,680,690,700,2500,2500,2500,1150,1150,1200,2614,2159,2045
"140",833,905,833,1440,1600,1440,1247,1380,1357,694,633,633,760,760,700,2500,2500,2452.13836477987,1250,1250,1250,1591,1553,1534
"141",1012,994,952,1440,1410,1320,1292,1260,1240,633,700,700,640,640,640,2500,2500,2305.58394160584,1250,1250,1150,1686,1676,1534
"142",952,1071,1230.62068965517,1247,1383,1412.86781609195,1220,1223,1234,700,694,667,753,680,680,2500,1739,1739,1150,1150,1150,1136,909,1193
"143",1429,1467,1548,1600,1360,1347,1300,1373,1368,694,700,700,680,710,760,2015.13725490196,2015.65217391304,2056.33944954128,1250,1250,1250,1153,1153,1136
"144",1310,1548,1190,1407,1600,1533,1420,1600,1617,700,700,667,760,760,760,2174,1957,2057.48905109489,1242,1250,1250,909,1136,1136
"145",883,1071,1071,1303,1327,1320,1800,1613,1560,700,767,767,760,760,720,2174,2174,2022,1250,1275,1250,1070,1390,1591
"146",1190,1190,1190,1337,1600,1600,1527,1720,1700,700,700,700,760,760,700,1848,1848,1848,1250,1250,1250,1742,1496,1364
"147",1237,1190.02777777778,1201.69444444444,1600,1440.30555555556,1407.22222222222,1758,1647.00775193798,1606.93548387097,700,670.076388888889,644.090277777778,660,701.527777777778,693.333333333333,1630,1720.87878787879,1635.28682170543,1250,1250,1250,1591,1394.20833333333,1309.61111111111
"148",1374,1190,1022,1280,1280,1280,1700,1495.08633093525,1600,633,633,633,700,700,700,1630,1630,1411.44217687075,1250,1250,1250,1136,1136,1136
"149",1002,1190,952,1400,1407,1407,1280,1233,1173,517,550,550,660,600,600,1413,1152,1196,1250,1250,1250,1311,1136,909
"150",1310,1220,1190,1520,1440,1360,1255,1200,1200,633,633,633,600,600,600,1196,1196,1122.80503144654,1250,1250,1250,1091,1364,1318
"151",1071,833,1090.78735632184,1360,1280,1320.97701149425,1142,1154,1187.41379310345,567,500,568.655172413793,560,520,551.724137931035,1087,761,1047.19444444444,1250,1250,1250,1136,1136,1063.87931034483
